#wavelength,flux
115.82,921.7168
116.07,882.1767
116.32,873.6894
116.57,1677.5991
116.82,1517.5563
117.07,1399.3678
117.32,849.69476
117.57,9458.605
117.82,805.0514
118.07,559.8162
118.32,664.95264
118.57,757.6085
118.82,957.50006
119.07,1409.0353
119.32,1692.5168
119.57,1094.4987
119.82,1519.9778
120.07,1822.0048
120.32,1129.1576
120.57,16618.617
120.82,1560.6107
121.07,114.280716
121.32,12771.177
121.57,872705.56
121.82,12296.459
122.07,1159.6194
122.32,1233.7147
122.57,936.197
122.82,919.033
123.07,754.13086
123.32,682.7823
123.57,668.5564
123.82,3056.3345
124.07,749.9525
124.32,1957.1157
124.57,559.4483
124.82,690.5996
125.07,594.76953
125.32,895.93097
125.57,803.4358
125.82,1122.7468
126.07,1578.1119
126.32,369.3705
126.57,3276.348
126.82,457.40143
127.07,439.0784
127.32,387.84747
127.57,988.33984
127.82,846.04565
128.06999,665.5966
128.31999,346.4132
128.56999,321.99603
128.81999,824.8183
129.06999,599.026
129.31999,410.20203
129.56999,887.39594
129.81999,870.9107
130.06999,1346.2362
130.31999,7561.6694
130.56999,16797.807
130.81999,1685.9962
131.06999,1081.2723
131.31999,848.1449
131.56999,882.3993
131.81999,1225.5275
132.06999,522.8183
132.31999,760.3744
132.56999,622.3237
132.81999,1005.1621
133.06999,601.6622
133.31999,6667.3267
133.56999,22648.068
133.81999,640.925
134.06999,602.84155
134.31999,702.12506
134.56999,665.0851
134.81999,714.2297
135.06999,1858.3188
135.31999,867.973
135.56999,2844.2644
135.81999,1931.494
136.06999,1101.7
136.31999,1112.2875
136.56999,821.4359
136.81999,979.71655
137.06999,1340.3595
137.31999,1133.3105
137.56999,1047.2616
137.81999,1007.0963
138.06999,1258.3623
138.31999,1010.54956
138.56999,1015.9542
138.81999,1121.1625
139.06999,1098.7578
139.31999,9779.657
139.56999,1203.8965
139.81999,1274.144
140.06999,2351.8455
140.31999,5530.118
140.56999,1874.225
140.81999,1497.033
141.06999,1632.63
141.31999,1579.7341
141.56999,1589.0325
141.81999,1491.9158
142.06999,1458.8619
142.31999,1554.778
142.56999,2192.5527
142.81999,1518.3693
143.06999,1764.1881
143.31999,2350.2302
143.56999,2058.9368
143.81999,1747.0615
144.06999,1837.4099
144.31999,1984.6808
144.56999,2115.6912
144.81999,1944.6056
145.06999,1926.1724
145.31999,2000.734
145.56999,2333.813
145.81999,2270.2021
146.06999,2101.4954
146.31999,2530.2314
146.56999,2371.672
146.81999,3260.522
147.06999,2654.034
147.31999,5369.035
147.56999,2549.0251
147.81999,2400.9834
148.06999,3645.9773
148.31999,3177.7893
148.56999,3530.5557
148.81999,2781.826
149.06999,2724.9878
149.31999,3163.0562
149.56999,2830.5696
149.81999,3037.74
150.06999,3470.1775
150.31999,3412.85
150.56999,3244.7551
150.81999,3344.6243
151.06999,4058.0176
151.31999,3643.1506
151.56999,3712.2878
151.81999,3640.1907
152.06999,3813.0571
152.31999,4031.1353
152.56999,6428.8306
152.81999,4339.783
153.06999,4115.2124
153.31999,7263.7393
153.56999,4660.805
153.81999,4759.984
154.06999,5264.489
154.31999,4508.6396
154.56999,4773.32
154.81999,22652.516
155.06999,14519.381
155.31999,4606.3423
155.56999,4947.24
155.81999,7775.146
156.06999,12846.364
156.31999,5767.7983
156.56999,5955.202
156.81999,5755.8135
157.06999,7755.784
157.31999,7166.176
157.56999,7619.0703
157.81999,5653.7695
158.06999,6653.422
158.31999,5712.8696
158.56999,7069.2114
158.81999,7288.812
159.06999,6568.6064
159.31999,6857.675
159.56999,6650.887
159.81999,5810.3843
160.06999,7280.0283
160.31999,8303.509
160.56999,6940.063
160.81999,7859.8013
161.06999,8997.67
161.31999,10466.933
161.56999,7477.8843
161.81999,8152.8286
162.06999,9447.979
162.31999,9540.71
162.56999,10932.696
162.81999,10501.635
163.06999,9082.929
163.31999,12348.475
163.56999,8981.193
163.81999,11186.247
164.06999,14790.042
164.31999,11759.319
164.56999,10592.368
164.81999,11127.396
165.06999,9491.314
165.31999,11886.537
165.56999,22670.225
165.81999,32560.367
166.06999,12971.698
166.31999,13607.074
166.56999,14133.86
166.81999,11760.722
167.06999,17749.85
167.31999,14676.482
167.56999,14674.568
167.81999,14532.006
168.06999,11475.219
168.31999,11687.408
168.56999,19507.54
168.81999,13728.095
169.06999,19958.334
169.31999,21197.586
169.56999,23953.39
169.81999,19726.7
170.06999,21272.258
170.31999,15871.385
170.56999,17776.18
170.81999,18198.582
171.06999,19360.129
171.31999,20306.227
171.56999,26639.773
171.81999,26819.824
172.06999,26677.918
172.31999,23561.541
172.56999,29469.133
172.81999,22925.367
173.06999,16559.945
173.31999,18607.975
173.56999,20914.13
173.81999,21182.389
174.06999,27050.635
174.31999,28796.33
174.56999,33244.465
174.81999,28895.654
175.06999,35198.055
175.31999,34995.094
175.56999,36357.164
175.81999,35995.863
176.06999,35285.86
176.31999,34174.03
176.56999,31130.37
176.81999,39645.504
177.06999,43601.37
177.31999,48816.516
177.56999,36676.754
177.81999,45914.445
178.06999,48638.625
178.31999,47543.746
178.56999,49334.547
178.81999,51909.523
179.06999,55580.5
179.31999,41383.21
179.56999,45392.863
179.81999,49461.96
180.06999,52486.766
180.31999,53311.76
180.56999,55208.805
180.81999,76458.18
181.06999,57343.08
181.31999,53748.227
181.56999,96473.67
181.81999,79109.53
182.06999,63073.098
182.31999,71061.19
182.56999,69932.61
182.81999,65358.605
183.06999,67405.22
183.31999,70947.01
183.56999,73133.77
183.81999,77841.21
184.06999,61490.133
184.31999,68020.39
184.56999,66650.63
184.81999,57025.36
185.06999,61762.24
185.31999,68468.82
185.56999,85679.25
185.81999,71458.4
186.06999,77612.16
186.31999,77785.69
186.56999,76874.55
186.81999,94782.61
187.06999,96064.55
187.31999,95126.445
187.56999,91741.32
187.81999,88973.766
188.06999,85258.1
188.31999,105698.51
188.56999,101866.81
188.81999,103585.11
189.06999,116247.664
189.31999,116433.305
189.56999,117265.44
189.81999,99180.27
190.06999,110016.086
190.31999,121228.71
190.56999,113598.79
190.81999,129757.555
191.06999,112764.79
191.31999,121295.586
191.56999,135244.19
191.81999,126231.45
192.06999,141932.22
192.31999,134344.1
192.56999,132977.31
192.81999,136203.33
193.06999,103204.56
193.31999,101356.875
193.56999,92121.56
193.81999,125081.94
194.06999,152013.97
194.31999,176742.33
194.56999,157739.44
194.81999,186756.97
195.06999,160203.72
195.31999,164551.1
195.56999,169684.27
195.81999,172102.92
196.06999,169501.2
196.31999,170681.88
196.56999,196409.6
196.81999,205102.64
197.06999,192774.23
197.31999,190358.72
197.56999,190957.98
197.81999,188744.81
198.06999,200525.56
198.31999,201849.92
198.56999,192290.84
198.81999,186145.83
199.06999,192962.06
199.31999,221040.2
199.56999,208699.1
199.81999,202785.78
200.06999,218114.16
200.31999,223696.73
200.56999,228878.25
200.81999,221105.69
201.06999,228037.53
201.31999,247098.11
201.56999,238822.06
201.81999,259883.36
202.06999,248032.27
202.31999,249741.28
202.56999,207154.3
202.81999,258946.42
203.06999,278006.75
203.31999,257897.42
203.56999,272711.72
203.81999,279637.16
204.06999,278221.94
204.31999,304072.84
204.56999,312187.44
204.81999,299489.62
205.06999,309011.4
205.31999,322901.78
205.56999,301379.94
205.81999,311413.2
206.06999,334450.3
206.31999,299263.62
206.56999,334413.3
206.81999,346852.06
207.06999,348199.12
207.31999,355677.78
207.56999,371075.78
207.81999,373414.1
208.06999,388845.75
208.31999,388814.94
208.56999,408949.84
208.81999,486830.56
209.06999,470988.9
209.31999,551109.06
209.56999,578614.2
209.81999,615263.9
210.06999,591002.1
210.31999,667306.7
210.56999,837162.4
210.81999,722547.8
211.06999,630455.1
211.31999,861199.9
211.56999,756334.5
211.81999,966805.1
212.06999,1085572.6
212.31999,658536.7
212.56999,619822.3
212.81999,893639.3
213.06999,730624.75
213.31999,835950.2
213.56999,690706.7
213.81999,896320.8
214.06999,1056563.9
214.31999,1189264.1
214.56999,1032878.06
214.81999,1067024.2
215.06999,966196.25
215.31999,1145138.2
215.56999,941236.25
215.81999,616596.94
216.06999,972769.3
216.31999,1012857.5
216.56999,864718.3
216.81999,760731.25
217.06999,821066.25
217.31999,985498.0
217.56999,774844.25
217.81999,786504.75
218.06999,1357341.4
218.31999,1266054.2
218.56999,1231637.1
218.81999,888794.2
219.06999,1077448.4
219.31999,1348883.8
219.56999,1040942.94
219.81999,1362945.0
220.06999,1012023.6
220.31999,1573496.6
220.56999,1435589.6
220.81999,1000181.4
221.06999,852273.4
221.31999,1094720.4
221.56999,1159572.1
