wavelength	flux
121.07	40.18215
121.32	12292.965
121.57	828008.1
121.82	11983.954
122.07	1102.2833
122.32	1185.8108
122.57	929.06903
122.82	903.05414
123.07	745.937
123.32	670.88385
123.57	657.7613
123.82	2964.1519
124.07	731.7768
124.32	1901.936
124.57	550.52875
124.82	679.605
125.07	584.03186
125.32	878.6816
125.57	787.1374
125.82	1099.1068
126.07	1537.7968
126.32	363.9015
126.57	3174.8303
126.82	450.5903
127.07	433.5917
127.32	383.37927
127.57	970.594
127.82	828.0524
128.06999	654.3009
128.31999	342.97275
128.56999	318.3458
128.81999	809.84436
129.06999	590.7437
129.31999	404.7381
129.56999	871.44214
129.81999	851.0338
130.06999	1324.6136
130.31999	7404.187
130.56999	16439.174
130.81999	1658.1299
131.06999	1066.0381
131.31999	838.37164
131.56999	873.2543
131.81999	1215.0355
132.06999	518.77295
132.31999	752.0973
132.56999	616.8729
132.81999	988.52484
133.06999	593.33
133.31999	6516.884
133.56999	22128.135
133.81999	636.32245
134.06999	596.1275
134.31999	694.55493
134.56999	658.53436
134.81999	705.01074
135.06999	1836.3169
135.31999	860.2792
135.56999	2805.9272
135.81999	1909.5278
136.06999	1088.9691
136.31999	1100.8357
136.56999	814.7861
136.81999	971.63965
137.06999	1326.498
137.31999	1124.1606
137.56999	1038.8433
137.81999	999.0671
138.06999	1249.5104
138.31999	1002.85767
138.56999	1008.01575
138.81999	1112.5906
139.06999	1090.6359
139.31999	9582.4375
139.56999	1195.314
139.81999	1264.6497
140.06999	2323.0093
140.31999	5422.6284
140.56999	1856.583
140.81999	1483.2881
141.06999	1619.3007
141.31999	1567.9639
141.56999	1576.9441
141.81999	1482.4865
142.06999	1448.5096
142.31999	1543.6235
142.56999	2173.3123
142.81999	1507.1257
143.06999	1748.7854
143.31999	2329.0457
143.56999	2042.1211
143.81999	1734.5895
144.06999	1825.1344
144.31999	1971.6108
144.56999	2100.5066
144.81999	1930.7872
145.06999	1913.6396
145.31999	1986.7058
145.56999	2318.4666
145.81999	2254.0188
146.06999	2087.4597
146.31999	2507.3713
146.56999	2355.311
146.81999	3234.072
147.06999	2635.828
147.31999	5319.5786
147.56999	2533.1226
147.81999	2385.2156
148.06999	3613.8755
148.31999	3153.335
148.56999	3501.9617
148.81999	2762.68
149.06999	2707.3318
149.31999	3140.5266
149.56999	2811.9167
149.81999	3019.574
150.06999	3449.132
150.31999	3392.3708
150.56999	3224.4536
150.81999	3324.8875
151.06999	4029.0576
151.31999	3621.1392
151.56999	3691.18
151.81999	3619.445
152.06999	3791.7517
152.31999	4008.585
152.56999	6362.451
152.81999	4314.259
153.06999	4094.5608
153.31999	7184.9546
153.56999	4638.836
153.81999	4736.9497
154.06999	5236.808
154.31999	4485.1445
154.56999	4745.816
154.81999	22254.283
155.06999	14305.707
155.31999	4585.8467
155.56999	4924.041
155.81999	7737.919
156.06999	12684.458
156.31999	5744.7017
156.56999	5933.6694
156.81999	5731.964
157.06999	7717.6665
157.31999	7137.403
157.56999	7586.6963
157.81999	5637.911
158.06999	6630.589
158.31999	5696.84
158.56999	7046.357
158.81999	7258.0625
159.06999	6551.0938
159.31999	6834.247
159.56999	6628.5645
159.81999	5787.427
160.06999	7249.5723
160.31999	8272.127
160.56999	6918.8003
160.81999	7833.613
161.06999	8972.207
161.31999	10432.725
161.56999	7465.1265
161.81999	8130.614
162.06999	9417.059
162.31999	9514.583
162.56999	10904.261
162.81999	10468.657
163.06999	9053.83
163.31999	12301.154
163.56999	8958.328
163.81999	11152.844
164.06999	14596.011
164.31999	11725.842
164.56999	10571.372
164.81999	11097.514
165.06999	9469.963
165.31999	11859.476
165.56999	22464.963
165.81999	32264.605
166.06999	12937.297
166.31999	13571.858
166.56999	14089.634
166.81999	11736.559
167.06999	17520.277
167.31999	14635.05
167.56999	14636.637
167.81999	14504.86
168.06999	11444.406
168.31999	11662.947
168.56999	19442.293
168.81999	13698.511
169.06999	19920.383
169.31999	21153.02
169.56999	23886.586
169.81999	19684.963
170.06999	21216.723
170.31999	15826.632
170.56999	17724.982
170.81999	18107.326
171.06999	19305.043
171.31999	20207.938
171.56999	26557.951
171.81999	26734.664
172.06999	26602.621
172.31999	23505.812
172.56999	29384.66
172.81999	22886.71
173.06999	16514.332
173.31999	18569.105
173.56999	20882.33
173.81999	21155.576
174.06999	27010.957
174.31999	28757.564
174.56999	33204.715
174.81999	28861.836
175.06999	35154.836
175.31999	34956.027
175.56999	36325.484
175.81999	35967.984
176.06999	35245.957
176.31999	34135.305
176.56999	31091.434
176.81999	39608.38
177.06999	43553.68
177.31999	48757.535
177.56999	36636.46
177.81999	45856.824
178.06999	48586.008
178.31999	47491.594
178.56999	49274.65
178.81999	51837.613
179.06999	55521.883
179.31999	41326.97
179.56999	45339.02
179.81999	49398.99
180.06999	52428.016
180.31999	53245.555
180.56999	55135.734
180.81999	75839.305
181.06999	57272.94
181.31999	53666.47
181.56999	95529.695
181.81999	78723.52
182.06999	62956.86
182.31999	70954.79
182.56999	69808.29
182.81999	65273.8
183.06999	67305.94
183.31999	70855.9
183.56999	73039.734
183.81999	77747.234
184.06999	61395.984
184.31999	67930.93
184.56999	66548.4
184.81999	56930.96
185.06999	61660.25
185.31999	68359.59
185.56999	85525.87
185.81999	71356.586
186.06999	77469.5
186.31999	77657.805
186.56999	76764.53
186.81999	94668.625
187.06999	95948.88
187.31999	94994.87
187.56999	91588.805
187.81999	88864.2
188.06999	85141.586
188.31999	105572.195
188.56999	101751.18
188.81999	103444.695
189.06999	115988.48
189.31999	116214.0
189.56999	117111.195
189.81999	99036.82
190.06999	109775.8
190.31999	121075.77
190.56999	113439.81
190.81999	129559.52
191.06999	112604.08
191.31999	121131.086
191.56999	135037.4
191.81999	126060.336
192.06999	141754.05
192.31999	134175.11
192.56999	132779.73
192.81999	136043.58
193.06999	103030.11
193.31999	101230.92
193.56999	91991.64
193.81999	124932.86
194.06999	151819.03
194.31999	176521.66
194.56999	157541.56
194.81999	186532.4
195.06999	159996.47
195.31999	164340.88
195.56999	169461.05
195.81999	171879.73
196.06999	169280.27
196.31999	170456.7
196.56999	196155.39
196.81999	204846.39
197.06999	192526.55
197.31999	190114.25
197.56999	190705.22
197.81999	188485.4
198.06999	200263.84
198.31999	201578.77
198.56999	192017.31
198.81999	185879.03
199.06999	192693.3
199.31999	220640.08
199.56999	208424.5
199.81999	202518.33
200.06999	217810.0
200.31999	223404.42
200.56999	228577.53
200.81999	220786.72
201.06999	227703.78
201.31999	246758.47
201.56999	238485.58
201.81999	259518.12
202.06999	247689.75
202.31999	249417.16
202.56999	206851.69
202.81999	258607.11
203.06999	277647.97
203.31999	257530.25
203.56999	272356.0
203.81999	279264.03
204.06999	277784.56
204.31999	303675.56
204.56999	311792.25
204.81999	299099.94
205.06999	308590.66
205.31999	322494.84
